KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,trend,seasonal,residual
11.001902760412412,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,27.58192887538651,-0.12757598190286965,-0.0006412040955970869
11.422661673160016,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,27.58192887538651,0.024908516726689648,-0.0006412040955970869
2.341670680153068,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,27.58192887538651,-0.29108048997277314,-0.0006412040955970869
4.800007741529085,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,7.780153844178192,0.5213322852603806,-3.5014783879094873
5.752650863371045,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,7.810438766105541,0.18110361640852526,-2.2388915191430216
8.799797767144534,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,7.3550696239587445,-0.0208726578780186,1.4656008010638084
10.342385423477188,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,8.62918467031588,-0.28781528864193406,2.001016041803242
11.213897213903854,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,9.68591074954444,-0.12757598190286965,1.655562446262283
8.235077678132441,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,10.573549167838214,0.024908516726689648,-2.363380006432463
11.260476004653016,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,10.867389447610545,-0.29108048997277314,0.6841670470152442
12.197090296129003,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,11.110242095547568,0.5213322852603806,0.5655159153210552
11.966119791427476,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,11.17388622366969,0.18110361640852526,0.61112995134926
10.856679725550842,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,11.637099476211388,-0.0208726578780186,-0.7595470927825269
12.04235395903634,26.7,23.2,31.3,127.0,6.2,1007.0,26.3,86.0,12.8,9.5,11.833884174083298,-0.28781528864193406,0.4962850735949762
11.659406110758727,26.3,23.6,30.8,134.0,5.5,1006.4,26.1,87.0,23.8,9.2,11.233745262076248,-0.12757598190286965,0.5532368305853492
11.477570445924329,25.0,23.4,29.6,165.0,4.9,1006.8,25.6,91.0,34.8,5.6,11.33459872176366,0.024908516726689648,0.11806320743397886
12.637968889756364,25.3,23.4,30.0,108.0,4.8,1007.5,25.4,91.0,22.3,1.1,11.57543422064713,-0.29108048997277314,1.3536151590820062
7.996117912079657,25.9,23.4,29.6,201.0,6.4,1007.4,26.0,90.0,104.0,0.5,11.763364363128872,0.5213322852603806,-4.288578736309596
12.672094009239371,27.7,23.6,31.5,347.0,5.7,1007.7,27.2,88.0,0.6,3.8,11.989475885247085,0.18110361640852526,0.5015145075837611
12.542528217735123,26.2,24.4,30.6,91.0,6.5,1007.8,26.2,90.0,0.0,6.4,12.031958614568987,-0.0208726578780186,0.5314422610441546
13.357864956408548,26.9,24.1,32.1,119.0,5.9,1007.1,26.7,89.0,25.7,5.3,11.626125654608739,-0.28781528864193406,2.0195545904417433
13.242186765586212,26.1,23.8,31.8,35.0,6.1,1006.6,26.3,88.0,41.0,6.9,12.871136151430505,-0.12757598190286965,0.49862659605857584
11.774949551177633,26.6,24.0,28.8,294.0,7.7,1007.2,26.4,86.0,37.6,0.5,13.907512001923713,0.024908516726689648,-2.1574709674727703
9.79713817003464,26.4,24.6,30.6,312.0,10.6,1007.1,27.4,74.0,0.2,0.0,14.7357929702938,-0.29108048997277314,-4.647574310286388
16.711191389832013,27.0,23.7,29.9,307.0,10.5,1007.4,27.6,82.0,7.3,3.1,14.635008124343118,0.5213322852603806,1.5548509802285146
